ra,st_raerr,st_rah,st_raherr,ra_str,dec,st_decerr,dec_str,st_glon,st_glonerr,st_glat,st_glaterr,st_elon,st_elonerr,st_elat,st_elaterr,st_posn,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_plxblend,st_plxn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,st_pmblend,st_pmn,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_radvn,st_uj,st_ujerr,st_ujlim,st_ujblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_vj,st_vjerr,st_vjlim,st_vjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend,st_mips1,st_mips1err,st_mips1lim,st_mips1blend,st_mips2,st_mips2err,st_mips2lim,st_mips2blend,st_mips3,st_mips3err,st_mips3lim,st_mips3blend,st_iras1,st_iras1err,st_iras1lim,st_iras1blend,st_iras2,st_iras2err,st_iras2lim,st_iras2blend,st_iras3,st_iras3err,st_iras3lim,st_iras3blend,st_iras4,st_iras4err,st_iras4lim,st_iras4blend,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_umbjblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmicblend,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_vjmrcblend,st_jmh2,st_jmh2err,st_jmh2lim,st_jmh2blend,st_hmk2,st_hmk2err,st_hmk2lim,st_hmk2blend,st_jmk2,st_jmk2err,st_jmk2lim,st_jmk2blend,st_bmy,st_bmyerr,st_bmylim,st_bmyblend,st_m1,st_m1err,st_m1lim,st_m1blend,st_c1,st_c1err,st_c1lim,st_c1blend,st_colorn,st_spstr,st_ssperr,st_splim,st_spblend,st_spn,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_teffn,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_loggn,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_metfen,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_lumn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,st_radn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_massn,st_dens,st_denserr1,st_denserr2,st_denslim,st_densblend,st_densn,st_age,st_ageerr1,st_ageerr2,st_agelim,st_ageblend,st_agen,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_vsinin,st_acts,st_actserr,st_actslim,st_actsblend,st_actsn,st_actr,st_actrerr,st_actrlim,st_actrblend,st_actrn,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,st_actlxn,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,hd_name,hip_name,swasp_id,pl_name,pl_hostname,pl_letter,pl_pnum,pl_mnum,pl_status,pl_discmethod,pl_disc,pl_disc_refname,pl_publ_date,pl_facility,pl_telescope,pl_instrument,pl_locale,pl_def_refname,pl_rvflag,pl_imgflag,pl_astflag,pl_tranflag,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,pl_cbflag,pl_omflag,pl_pelink,pl_edelink,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtpern,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_orblpern,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinin,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massn,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insoln,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepn,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurn,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidn,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparn,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepn,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorn,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorn,pl_st_npar,pl_st_nref,rowupdate
257.520477,0.000002,17.16803182,0.00000015,17h10m04.91s,-56.449268,0.000002,-56d26m57.4s,333.385298,0.000002,-9.759043,0.000002,261.778697,0.000002,-33.365586,0.000002,2,15.44,0.84,-0.84,0,0,2,64.77,3.52,-3.52,0,2,32.400,1.500,0,-123.100,1.500,0,127.300,2.100,0,0,2,,,,,,0,,,,,8.912,0.017,0,0,8.210,,0,0,,,,,,,,,7.013,0.029,0,0,6.699,0.045,0,0,6.612,0.022,0,0,6.561,0.031,0,1,6.582,0.018,0,1,6.574,0.014,0,1,6.269,0.070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.857e+00,1.090e-01,0,0,3.573e+00,,1,0,1.135e+00,,1,0,-1.810e+00,,1,0,8.210,,0,0,V (Johnson),17,,,,,0.713,0.013,0,0,,,,,,,,,0.314,0.054,0,0,0.087,0.050,0,0,0.401,0.036,0,0,0.438,0.003,0,0,0.234,0.004,0,0,0.403,0.006,0,0,12,G3 IV,,0,0,3,5655.00,100.00,-100.00,0,0,2,4.15,0.05,-0.05,0,0,2,0.110,0.100,-0.100,0,0,2,[Fe/H],0.281,0.022,-0.023,0,0,1,1.44,0.05,-0.05,0,0,1,1.08,0.05,-0.05,0,0,2,,,,,0,0,8.000,3.000,-3.000,0,0,0,2.2000,0.2000,-0.2000,0,0,1,,,,,0,,,,,0,,,,,0,3,0,1,2,0,3,0,HD 154672,HIP 83983,,HD 154672 b,HD 154672,b,1,0,3,Radial Velocity,2008,Lopez-Morales et al. 2008,2008-11,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,Ground,Jenkins et al. 2016,1,0,0,0,0,0,0,0,0,0,http://exoplanet.eu/catalog/hd_154672_b/,http://exoplanets.org/detail/HD_154672_b,163.96700000,0.00900000,-0.00900000,0,2,0.590000,0.020000,-0.020000,0,2,,,,,0,,,,,1,0.600000,0.004000,-0.004000,0,2,265.2800,0.5700,-0.5700,0,2,176.300,0.700,-0.700,0,1,4.73000,0.32000,-0.32000,0,1503.33590,101.70560,-101.70560,0,2,,,,,,,,,0,4.73000,0.32000,-0.32000,0,1503.33590,101.70560,-101.70560,0,2,Msini,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,22,0,2016-11-10
240.459778,0.000003,16.03065186,0.00000021,16h01m50.35s,-44.434536,0.000002,-44d26m04.3s,334.969392,0.000003,6.274062,0.000003,247.464721,0.000003,-23.279196,0.000003,2,15.23,1.18,-1.18,0,0,3,65.66,5.09,-5.09,0,4,-156.200,1.100,0,-119.500,1.100,0,196.700,1.600,0,0,2,-1.50,0.70,-0.70,0,0,1,,,,,10.026,0.031,0,0,9.200,,0,0,,,,,,,,,7.905,0.025,0,0,7.572,0.038,0,0,7.488,0.018,0,0,7.413,0.030,0,0,7.487,0.019,0,0,7.479,0.018,0,0,7.770,0.180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.200,,0,0,V (Johnson),14,,,,,0.773,0.004,0,0,,,,,,,,,0.333,0.045,0,0,0.084,0.042,0,0,0.417,0.031,0,0,0.466,0.002,0,0,0.296,0.003,0,0,0.371,0.005,0,0,9,G6 V,,0,0,4,5505.00,100.00,-100.00,0,0,2,4.42,0.08,-0.08,0,0,2,0.220,0.100,-0.100,0,0,4,[Fe/H],-0.092,0.031,-0.033,0,0,1,0.99,0.08,-0.08,0,0,1,0.95,0.05,-0.05,0,0,4,,,,,0,0,5.000,5.000,-5.000,0,0,0,1.5000,0.1000,-0.1000,0,0,2,,,,,0,,,,,0,,,,,0,3,0,1,2,0,3,0,HD 143361,HIP 78521,,HD 143361 b,HD 143361,b,1,0,3,Radial Velocity,2008,Minniti et al. 2009,2009-03,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,Ground,Jenkins et al. 2016,1,0,0,0,0,0,0,0,0,0,http://exoplanet.eu/catalog/hd_143361_b/,http://exoplanets.org/detail/HD_143361_b,1046.20000000,3.20000000,-3.20000000,0,3,1.980000,0.070000,-0.070000,0,3,,,,,0,,,,,2,0.193000,0.015000,-0.015000,0,3,241.2200,3.4400,-3.4400,0,3,72.100,1.000,-1.000,0,2,3.48000,0.24000,-0.24000,0,1106.04840,76.27920,-76.27920,0,3,,,,,,,,,0,3.48000,0.24000,-0.24000,0,1106.04840,76.27920,-76.27920,0,3,Msini,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,33,0,2016-11-10
253.373901,0.000004,16.89159342,0.00000027,16h53m29.74s,-46.332958,0.000003,-46d19m58.6s,339.892243,0.000004,-1.568839,0.000004,257.548855,0.000003,-23.609732,0.000003,2,12.00,1.52,-1.52,0,0,3,83.33,10.56,-10.56,0,3,-110.700,1.200,0,-95.300,1.200,0,146.100,1.700,0,0,2,-21.50,0.30,-0.30,0,0,1,,,,,9.909,0.026,0,0,9.180,,0,0,,,,,,,,,7.984,0.021,0,0,7.656,0.031,0,0,7.634,0.021,0,0,7.563,0.027,0,0,7.638,0.020,0,0,7.713,0.033,0,1,7.554,0.283,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.180,,0,0,V (Johnson),13,,,,,0.711,0.025,0,0,,,,,,,,,0.328,0.037,0,0,0.022,0.037,0,0,0.350,0.030,0,0,0.430,0.002,0,0,0.244,0.003,0,0,0.379,0.005,0,0,9,G6 V,,0,0,3,5726.00,100.00,-100.00,0,0,2,4.36,0.10,-0.10,0,0,2,0.160,0.100,-0.100,0,0,2,[Fe/H],0.107,0.051,-0.058,0,0,1,1.15,0.13,-0.13,0,0,1,1.10,0.05,-0.05,0,0,2,,,,,0,0,3.000,3.000,-3.000,0,0,0,1.8000,0.1000,-0.1000,0,0,2,,,,,0,,,,,0,,,,,0,2,0,1,1,0,3,0,HD 152079,HIP 82632,,HD 152079 b,HD 152079,b,1,0,3,Radial Velocity,2009,Arriagada et al. 2010,2010-03,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,Ground,Jenkins et al. 2016,1,0,0,0,0,0,0,0,0,0,http://exoplanet.eu/catalog/hd_152079_b/,,2899.00000000,52.00000000,-52.00000000,0,2,3.980000,0.150000,-0.150000,0,2,,,,,0,,,,,1,0.520000,0.020000,-0.020000,0,2,324.8700,3.4400,-3.4400,0,2,31.300,1.100,-1.100,0,1,2.18000,0.17000,-0.17000,0,692.86940,54.03110,-54.03110,0,2,,,,,,,,,0,2.18000,0.17000,-0.17000,0,692.86940,54.03110,-54.03110,0,2,Msini,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,22,0,2016-11-10
269.408997,0.000000,17.96059977,0.00000000,17h57m38.16s,-28.963158,0.000000,-28d57m47.4s,1.318424,0.000000,-2.274273,0.000000,269.480501,0.000000,-5.524932,0.000000,1,,,,,0,0,6860.00,1110.00,-1110.00,0,1,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,,0,0,,,,,0,0,0.51,0.44,-0.28,0,0,1,,,,,0,0,,,,0,,0,,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,OGLE-2014-BLG-1760 b,OGLE-2014-BLG-1760,b,1,0,3,Microlensing,2016,Bhattacharya et al. 2016,2016-11,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,Ground,Bhattacharya et al. 2016,0,0,0,0,0,0,0,0,0,0,http://exoplanet.eu/catalog/ogle-2014%3Ablg-1760l_b/,,,,,,0,1.750000,0.340000,-0.330000,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,0,0.56000,0.34000,-0.26000,0,177.98480,108.06220,-82.63580,0,1,0.56000,0.34000,-0.26000,0,177.98480,108.06220,-82.63580,0,1,Mass,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,3,0,2016-11-10
22.504177,0.000003,1.50027847,0.00000018,01h30m01.00s,-19.604502,0.000002,-19d36m16.2s,174.582406,0.000014,-78.390109,0.000003,12.776157,0.000003,-26.824713,0.000003,2,12.67,0.62,-0.62,0,0,2,78.93,3.86,-3.86,0,2,33.300,1.500,0,-183.500,1.300,0,186.500,2.000,0,0,2,,,,,,0,,,,,9.145,0.020,0,0,8.400,,0,0,,,,,,,,,7.134,0.023,0,0,6.830,0.029,0,0,6.744,0.027,0,0,6.690,0.066,0,0,6.733,0.021,0,0,6.740,0.016,0,0,6.692,0.067,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.400,,0,0,V (Johnson),13,,,,,0.761,0.002,0,0,,,,,,,,,0.304,0.037,0,0,0.086,0.040,0,0,0.390,0.035,0,0,,,,,,,,,,,,,6,G8 IV,,0,0,3,5577.00,100.00,-100.00,0,0,1,4.03,0.05,-0.05,0,0,1,0.390,0.100,-0.100,0,0,1,[Fe/H],0.382,0.031,-0.034,0,0,1,1.67,0.07,-0.07,0,0,1,1.03,0.05,-0.05,0,0,1,,,,,0,0,9.000,3.000,-3.000,0,0,0,2.1000,0.2000,-0.2000,0,0,1,,,,,0,,,,,0,,,,,0,1,0,1,0,0,3,0,HD 9174,HIP 6993,,HD 9174 b,HD 9174,b,1,0,3,Radial Velocity,2016,Jenkins et al. 2016,,Multiple Observatories,Multiple Telescopes,Multiple Instruments,Ground,Jenkins et al. 2016,1,0,0,0,0,0,0,0,0,0,http://exoplanet.eu/catalog/hd_9174_b/,,1179.00000000,34.00000000,-34.00000000,0,1,2.200000,0.090000,-0.090000,0,1,,,,,0,,,,,0,0.120000,0.050000,-0.050000,0,1,101.9900,37.8200,-37.8200,0,1,20.800,2.200,-2.200,0,1,1.11000,0.14000,-0.14000,0,352.79130,44.49620,-44.49620,0,1,,,,,,,,,0,1.11000,0.14000,-0.14000,0,352.79130,44.49620,-44.49620,0,1,Msini,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,12,0,2016-11-10
